MJD,RH
59215.442187,6.780
59215.107639,6.773
59215.101736,6.765
59215.872396,6.755
59215.255556,6.905
59215.607106,6.758
59215.297222,6.630
59215.608495,6.840
59215.326562,6.790
59215.959896,6.795
59215.084549,6.675
59215.678819,6.760
59215.474294,6.800
59215.625509,6.725
59215.833669,6.780
59215.234722,6.505
59215.798785,6.785
59216.987662,6.858
59216.439225,6.750
59216.104688,6.695
59216.495833,6.615
59216.360752,6.815
59216.098773,6.930
59216.869618,6.688
59216.252766,6.730
59216.721863,6.765
59216.604167,6.750
59216.347731,6.798
59216.214225,6.720
59216.294271,6.750
59216.605718,6.785
59216.323773,6.705
59216.669097,6.858
59216.957118,6.905
59216.081759,6.748
59216.676042,6.830
59216.471516,6.810
59216.622558,6.780
59216.703461,6.790
59216.830891,6.705
59216.231933,6.718
59216.870648,6.888
59216.795833,6.830
59217.984884,6.900
59217.436447,6.915
59217.101910,6.760
59217.493056,6.725
59217.357986,6.820
59217.095822,6.890
59217.249826,6.800
59217.719086,6.790
59217.601215,6.763
59217.344965,6.735
59217.211458,6.795
59217.291308,6.745
59217.602940,6.823
59217.321007,0.670
59217.078981,6.830
59217.673079,6.678
59217.700683,6.703
59217.828125,6.715
59217.228993,6.730
59217.792870,6.780
59218.433333,6.510
59218.355208,6.935
59218.093056,6.865
59218.864062,6.620
59218.246863,6.680
59218.598437,6.885
59218.208681,6.950
59218.288368,6.765
59218.600000,6.743
59218.318056,0.655
59218.663542,6.900
59218.075868,6.755
59218.670301,6.800
59218.465625,6.795
59218.617014,6.765
59218.697917,6.858
59218.226204,6.793
59218.790093,6.775
59219.979167,6.770
59219.430556,6.740
59219.487488,6.685
59219.352257,6.730
59219.861285,6.720
59219.244097,6.810
59219.713542,6.753
59219.595648,6.783
59219.339236,6.725
59219.205729,6.845
59219.285405,6.835
59219.597222,6.800
59219.315104,6.790
59219.660752,6.805
59219.948773,6.818
59219.073090,6.853
59219.667350,6.800
59219.462836,6.865
59219.614236,6.833
59219.695139,6.715
59219.822396,6.750
59219.862141,6.825
59219.787141,6.810
59220.976389,6.845
59220.427593,6.780
59220.093403,6.800
59220.484711,6.840
59220.349294,6.790
59220.087153,6.855
59220.858507,6.765
59220.241319,6.835
59220.710764,6.800
59220.592697,6.875
59220.336273,6.788
59220.202951,6.835
59220.282465,6.765
59220.594444,6.810
59220.312326,6.790
59220.657801,6.905
59220.945995,6.825
59220.070312,6.833
59220.664572,6.790
59220.460058,6.855
59220.611273,6.878
59220.692361,6.840
59220.819618,6.723
59220.220486,6.750
59220.859201,6.860
59220.784190,6.785
59221.973611,6.865
59221.424641,6.860
59221.090613,6.863
59221.482106,6.795
59221.346516,6.860
59221.084363,6.845
59221.855729,6.808
59221.238356,6.860
59221.707812,6.865
59221.589757,6.810
59221.333495,6.770
59221.200162,6.930
59221.279502,6.878
59221.591481,6.805
59221.309537,6.815
59221.654861,6.865
